Bootcamp Course,Bootcamp Format,Bootcamp Year,Bootcamp Start Date,Campus - Timezone,Created Date,Close Date,Stage,Discount Amount (converted),Scholarship Amount (converted),Amount (converted),Net Amount With VAT (converted),Drop,Drop Reason,how did you hear about us?,Person Account: Tech Background,Person Account: Gender,Person Account: Highest degree received,Person Account: Looking for a Job,Person Account: Nationality,Stage Duration,Account: Last Modified Date,First touchpoint Date,Hours Before First Touchpoint,Person Account: City Before Course,Person Account: Eligible to Work In
WD,FT,2020,2020-06-29,BCN,2020-03-25,2020-05-29,Paid Deposit,500.0,0.0,7000.0,6500.0,0,Not specified,google,No experience,Male,PhD,Yes,Americas,193.0,2020-04-12,2020-03-30,119.16,Barcelona,Yes
WD,FT,2021,2021-10-18,BCN,2020-03-26,2020-11-05,Paid Deposit,500.0,0.0,7000.0,6500.0,0,Not specified,Referral,No experience,Male,Master's Degree,Yes,Europa-Asia,216.0,2020-09-16,2020-03-27,27.01,Barcelona,Yes
WD,FT,2020,2020-06-29,BCN,2020-03-24,2020-03-27,Paid Deposit,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,Intermediate learner,Male,Bachelor Degree,Yes,Spain,256.0,2020-05-12,2020-03-24,5.68,Menorca,Yes
DA,FT,2020,2020-03-30,BCN,2020-03-22,2020-03-31,Closed lost,0.0,0.0,7000.0,5950.0,0,Not specified,Referral,Beginning learner,Male,Master's Degree,Yes,Europa-Asia,258.0,2020-08-10,2020-03-23,26.49,Singapore,No
DA,FT,2020,2020-10-19,BCN,2020-01-07,2020-07-13,Paid Deposit,500.0,0.0,7000.0,6500.0,0,Not specified,Referral,Beginning learner,Male,Bachelor Degree,Yes,Spain,148.0,2020-06-12,2020-09-07,193.91,Barcelona,Yes
WD,FT,2020,2020-06-29,BCN,2020-02-25,2020-03-31,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,google,I don´t have experience,Male,Bachelor Degree,Yes,Spain,281.0,2020-08-10,2020-02-26,14.75,Girona,Yes
WD,PT,2020,2020-09-29,BCN,2020-02-17,2020-11-09,Paid Deposit,0.0,0.0,7500.0,7500.0,0,Not specified,Referral,Learning: Beginner Level,Male,High school Graduate,Yes,Spain,85.0,2020-10-31,2020-04-22,1555.62,Barcelona,Yes
DA,FT,2020,2020-03-30,BCN,2020-02-24,2020-03-31,Closed lost,700.0,0.0,7000.0,5355.0,0,Not specified,Social Media,I don´t have experience,Female,Bachelor Degree,Yes,Americas,258.0,2020-09-10,2020-03-03,193.84,Ciudad de Panama,Yes
WD,PT,2020,2020-09-29,BCN,2020-02-03,2020-07-27,Paid Deposit,1750.0,0.0,8000.0,6250.0,0,Not specified,Referral,I don´t have experience,Male,Bachelor Degree,Yes,Spain,134.0,2020-09-19,2020-06-03,95.81,Barcelona,Yes
DA,FT,2020,2020-06-22,BCN,2020-02-19,2020-03-31,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,other,Learning: Intermediate Level,Male,Bachelor Degree,Yes,Europa-Asia,257.0,2020-08-10,2020-02-27,193.53,Djibouti City,No
