Bootcamp Course,Bootcamp Format,how did you hear about us?,Person Account: Tech Background,Person Account: Gender,Person Account: Highest degree received,Person Account: Looking for a Job,Person Account: Nationality,Stage Duration,Hours Before First Touchpoint,Person Account: City Before Course,Person Account: Eligible to Work In,Paid Deposit,Time to first touchpoint - days,Time First touchpoint to Close date - days,Scholarship,Discount,Time Conversion - days,Time between Created Date and Start Date - days,Discount(%),Creater Month,Creater Quarter
WD,PT,Referral,No experience,Female,Bachelor Degree,Yes,Spain,62.0,140.33,Barcelona,Yes,0,184,21,0,1,205,204,0.09999999999999998,3,1
WD,FT,Social Media,Beginning learner,Male,Bachelor Degree,Yes,Spain,87.0,15.33,Barcelona,Yes,1,29,214,0,0,243,407,0.0,2,1
UX,FT,google,No experience,Female,Bachelor Degree,Yes,Spain,76.0,101.89,Barcelona,Yes,0,122,52,0,0,174,172,0.0,4,2
WD,FT,google,No experience,Male,Bachelor Degree,Yes,Europa-Asia,43.0,362.93,Barcelona,Yes,0,104,70,0,0,174,479,0.0,7,3
WD,PT,Referral,No experience,Male,Bachelor Degree,Yes,Americas,77.0,3.2,Barcelona,Yes,0,0,83,0,0,83,82,0.0,7,3
WD,FT,Referral,Beginning learner,Female,Master's Degree,No,Spain,88.0,117.64,Barcelona,Yes,1,153,31,0,1,184,142,0.09999999999999998,5,2
DA,PT,Referral,No experience,Female,Bachelor Degree,Yes,Spain,36.0,3.2,Barcelona,Yes,0,0,204,0,1,204,449,0.09999999999999998,6,2
DA,FT,switchup,No experience,Male,Bachelor Degree,Yes,Spain,55.0,18.29,Barcelona,Yes,0,1,78,0,0,79,384,0.0,10,4
WD,FT,other,No experience,Female,Bachelor Degree,Yes,Americas,47.0,280.64,Barcelona,No,0,12,70,0,1,82,387,0.09999999999999998,10,4
UX,FT,google,No experience,Female,Bachelor Degree,Yes,Americas,41.0,63.97,Barcelona,Yes,0,2,66,0,0,68,373,0.0,10,4
WD,PT,newspaperOrMagazine,Intermediate learner,Male,Bachelor Degree,Yes,Spain,39.0,68.9,Hospitalet,Yes,0,3,66,0,0,69,314,0.0,10,4
WD,FT,other,Beginning learner,Female,Bachelor Degree,Yes,Spain,40.0,27.09,Barcelona,Yes,0,1,66,0,1,67,372,0.09999999999999998,10,4
WD,FT,google,No experience,Male,No Formal Schooling,Yes,Spain,46.0,940.11,Barcelona,Yes,0,39,31,0,0,70,151,0.0,10,4
UX,PT,google,Beginning learner,Female,Bachelor Degree,Yes,Spain,34.0,3.05,Barcelona,Yes,0,0,324,0,1,324,633,0.08999999999999997,2,1
WD,FT,Referral,No experience,Male,Bachelor Degree,Yes,Spain,33.0,74.21,Barcelona,Yes,0,90,234,0,0,324,405,0.0,2,1
DA,PT,Social Media,No experience,Male,Bachelor Degree,Yes,Spain,29.0,8.87,Barcelona,Yes,0,0,111,0,0,111,356,0.0,9,3
UX,FT,google,No experience,Female,Bachelor Degree,Yes,Spain,20.0,1.92,Barcelona,Yes,1,0,191,0,0,191,539,0.0,5,2
DA,PT,google,No experience,Male,Master's Degree,Yes,Europa-Asia,6.0,95.97,Barcelona,No,0,4,41,0,0,45,290,0.0,11,4
WD,FT,google,Beginning learner,Male,Bachelor Degree,Yes,Spain,19.0,143.5,Barcelona,Yes,0,6,36,0,0,42,347,0.0,11,4
UX,FT,Referral,No experience,Female,Bachelor Degree,Yes,Spain,8.0,241.08,Madrid-Barcelona,Yes,0,10,31,0,0,41,122,0.0,11,4
WD,FT,google,Beginning learner,Male,Master's Degree,Yes,Spain,8.0,47.31,Barcelona,Yes,0,2,36,0,1,38,343,0.06999999999999995,11,4
WD,FT,switchup,No experience,Male,No Formal Schooling,Yes,Spain,7.0,140.75,Barcelona,Yes,0,6,31,0,0,37,118,0.0,11,4
WD,FT,Referral,No experience,Male,Master's Degree,Yes,Spain,12.0,15.0,London,Yes,1,1,0,0,0,1,342,0.0,11,4
DA,FT,Referral,Beginning learner,Male,PhD,Yes,Spain,61.0,15.45,Barcelona,Yes,0,1,61,0,1,62,173,0.06999999999999995,4,2
WD,FT,Referral,No experience,Male,No Formal Schooling,Yes,Spain,110.0,39.89,Barcelona,Yes,0,31,145,0,1,176,266,0.13,1,1
UX,PT,IronhackEvent,No experience,Male,Bachelor Degree,Yes,Americas,195.0,3.03,Barcelona,Yes,0,0,47,0,0,47,33,0.0,5,2
UX,FT,Referral,Beginning learner,Female,Bachelor Degree,Yes,Europa-Asia,195.0,21.96,Barcelona,Yes,1,1,8,0,0,9,35,0.0,5,2
WD,FT,Referral,No experience,Female,Bachelor Degree,Yes,Europa-Asia,186.0,18.97,Barcelona,Yes,0,1,39,0,0,40,39,0.0,5,2
DA,FT,google,Beginning learner,Male,Bachelor Degree,No,Spain,197.0,19.49,Barcelona,Yes,1,1,5,0,0,6,34,0.0,5,2
WD,FT,Referral,No experience,Male,Bachelor Degree,Yes,Spain,169.0,215.07,Barcelona,Yes,1,9,0,0,1,9,107,0.06999999999999995,6,2
UX,FT,Referral,No experience,Male,Bachelor Degree,Yes,Spain,153.0,0.87,Barcelona,Yes,1,0,138,0,1,138,514,0.06999999999999995,5,2
WD,FT,Referral,No experience,Male,Bachelor Degree,Yes,Spain,132.0,28.85,Barcelona,Yes,0,1,35,0,0,36,126,0.0,5,2
UX,PT,google,Beginning learner,Male,Bachelor Degree,Yes,Spain,186.0,41.97,Barcelona,Yes,0,2,36,0,0,38,24,0.0,5,2
