Bootcamp Course,Bootcamp Format,Bootcamp Year,Campus - Timezone,Drop,Drop Reason,how did you hear about us?,Person Account: Gender,Stage Duration,Paid Deposit,Scholarship,Discount,Time Conversion - days,Time between Created Date and Start Date - days,Discount(%),Creater Month,Creater Quarter
WD,PT,2018,MAD,0,Not specified,newspaperOrMagazine,Male,1120.0,0,0,0,120,161,0.0,11,4
WD,PT,2018,MEX,0,Not specified,Social Media,Male,1076.0,0,0,0,77,116,0.0,12,4
WD,PT,2017,MAD,0,Not specified,other,Female,1319.0,1,0,1,129,178,0.09999999999999998,4,2
DA,FT,2020,PAR,0,Not specified,google,Male,278.0,0,0,0,62,54,0.15000000000000002,1,1
WD,FT,2020,RMT-Europe,0,Not specified,newspaperOrMagazine,Male,183.0,0,0,0,0,-90,0.0,9,3
WD,FT,2018,MEX,0,Not specified,courseReport,Male,1075.0,0,0,0,4,24,0.0,12,4
WD,FT,2017,MIA,0,Not specified,Referral,Female,1319.0,1,0,1,98,30,0.09999999999999998,4,2
UX,PT,2019,BCN,0,Not specified,google,Female,375.0,0,0,0,17,29,0.0,9,3
WD,FT,2020,SAO,0,Not specified,Referral,Male,182.0,0,0,0,0,-20,0.0,9,3
UX,FT,2018,BCN,0,Not specified,google,Male,1120.0,0,0,1,321,76,0.15000000000000002,11,4
WD,FT,2018,MEX,0,Not specified,Social Media,Male,1075.0,0,0,1,123,24,0.010000000000000009,12,4
DA,FT,2020,SAO,0,Not specified,Social Media,Female,120.0,0,0,0,76,32,0.0,7,3
WD,PT,2017,MIA,0,Not specified,google,Male,1318.0,1,0,0,19,30,0.0,4,2
WD,FT,2019,PAR,0,Not specified,Social Media,Male,435.0,0,0,0,17,31,0.0,9,3
WD,FT,2020,SAO,1,COVID-19,Referral,Male,313.0,1,0,1,1,201,0.12,1,1
WD,FT,2018,MEX,0,Not specified,Social Media,Female,1075.0,0,0,1,18,24,0.010000000000000009,12,4
DA,PT,2020,RMT-Europe,0,Not specified,Social Media,Male,131.0,0,0,0,76,-36,0.0,7,3
WD,FT,2017,BCN,0,Not specified,google,Female,1318.0,0,0,0,15,106,0.0,4,2
WD,FT,2018,MEX,0,Not specified,Social Media,Female,1075.0,0,0,0,18,37,0.0,12,4
DA,PT,2021,PAR,0,Not specified,google,Female,145.0,0,0,0,77,215,0.0,7,3
WD,PT,2017,MAD,0,Not specified,other,Female,1318.0,0,0,1,85,177,0.07999999999999996,4,2
WD,FT,2019,PAR,0,Not specified,Social Media,Male,442.0,0,0,0,10,31,0.0,9,3
WD,PT,2020,MEX,0,Not specified,Social Media,Male,287.0,0,0,0,62,64,0.0,1,1
WD,FT,2018,MEX,0,Not specified,Social Media,Male,1075.0,0,0,0,33,37,0.0,12,4
WD,FT,2017,PAR,0,Not specified,google,Male,1318.0,0,0,0,17,-21,0.0,4,2
UX,FT,2019,PAR,0,Not specified,PoleEmploi,Female,440.0,1,0,0,12,31,0.0,9,3
DA,PT,2020,MEX,0,Not specified,Social Media,Male,287.0,0,0,0,62,54,0.0,1,1
WD,FT,2019,PAR,0,Not specified,other,Prefer not to disclose,767.0,0,0,1,0,505,0.13,2,1
WD,PT,2018,PAR,0,Not specified,newspaperOrMagazine,Male,1075.0,0,0,1,174,116,0.15000000000000002,12,4
DA,FT,2020,MEX,0,Not specified,Referral,Female,132.0,0,0,0,77,-129,0.0,7,3
DA,FT,2020,BCN,0,Not specified,google,Male,293.0,0,0,0,11,193,0.15000000000000002,9,3
UX,FT,2020,MAD,0,Not specified,Referral,Male,288.0,0,0,0,62,54,0.15000000000000002,1,1
DA,FT,2019,PAR,0,Not specified,other,Prefer not to disclose,531.0,0,0,0,30,111,0.0,6,2
UX,PT,2021,LIS,0,Not specified,newspaperOrMagazine,Male,61.0,0,0,0,0,135,0.0,9,3
WD,FT,2017,BCN,0,Not specified,Social Media,Female,1300.0,0,0,1,32,202,0.15000000000000002,5,2
DA,FT,2020,PAR,0,Not specified,Referral,Female,424.0,1,0,1,112,256,0.09999999999999998,9,3
WD,FT,2020,MIA,0,Not specified,google,Male,281.0,0,0,0,61,60,0.0,1,1
UX,FT,2018,MEX,0,Not specified,Social Media,Male,1075.0,0,0,0,123,312,0.0,12,4
WD,FT,2020,BER,0,Not specified,google,Female,130.0,1,0,1,15,95,0.09999999999999998,7,3
WD,FT,2017,MIA,0,Not specified,newspaperOrMagazine,Male,1300.0,0,0,1,504,-97,0.08999999999999997,5,2
UX,FT,2020,BCN,0,Not specified,other,Female,306.0,0,0,0,11,151,0.0,9,3
WD,FT,2020,MEX,0,Not specified,google,Male,278.0,0,0,0,58,50,0.0,2,1
WD,FT,2018,BCN,0,Not specified,Social Media,Female,1120.0,0,0,0,1,260,0.0,11,4
WD,PT,2018,MEX,0,Not specified,Social Media,Male,1075.0,0,0,0,27,115,0.0,12,4
DA,FT,2020,AMS,1,Got a job,Referral,Female,90.0,1,0,0,24,147,0.0,7,3
