Bootcamp Course,Bootcamp Format,how did you hear about us?,Person Account: Gender,Stage Duration,Hours Before First Touchpoint,Paid Deposit,Time to first touchpoint - days,Time First touchpoint to Close date - days,Scholarship,Discount,Time Conversion - days,Time between Created Date and Start Date - days,Discount(%),Creater Month,Creater Quarter
DA,FT,google,Male,215.0,48.91,0,2,7,0,0,9,155,0.0,3,1
DA,FT,other,Prefer not to disclose,154.0,0.19,0,0,267,0,0,267,230,0.0,1,1
DA,FT,google,Female,132.0,120.01,0,152,115,0,0,267,230,0.0,1,1
WD,FT,Referral,Male,279.0,1.98,0,0,40,0,0,40,32,0.15000000000000002,2,1
WD,FT,google,Male,285.0,0.23,0,0,40,0,0,40,168,0.0,2,1
DA,PT,google,Male,256.0,18.17,0,1,36,0,0,37,239,0.0,2,1
DA,FT,other,Female,285.0,0.2,0,0,40,0,0,40,32,0.15000000000000002,2,1
DA,PT,IronhackEvent,Male,208.0,3.27,0,0,40,0,0,40,15,0.0,2,1
WD,FT,Social Media,Male,281.0,13.71,0,1,36,0,0,37,165,0.0,2,1
DA,FT,Social Media,Male,275.0,12.81,1,1,192,0,0,193,29,0.15000000000000002,2,1
DA,FT,Social Media,Male,279.0,12.51,0,1,34,0,0,35,27,0.15000000000000002,2,1
WD,FT,google,Male,251.0,0.87,1,0,6,0,0,6,161,0.0,2,1
DA,FT,google,Male,285.0,12.41,0,1,42,0,0,43,35,0.15000000000000002,2,1
WD,FT,other,Male,289.0,3.17,0,0,40,0,0,40,32,0.15000000000000002,2,1
WD,FT,Social Media,Female,285.0,8.73,0,0,36,0,0,36,164,0.0,2,1
DA,FT,Social Media,Male,253.0,0.15,0,0,14,0,0,14,142,0.0,3,1
WD,FT,google,Female,249.0,33.24,0,1,41,0,0,42,170,0.0,2,1
WD,PT,Social Media,Male,292.0,0.27,0,0,40,0,0,40,-14,0.0,2,1
WD,PT,other,Female,288.0,4.35,0,0,36,0,0,36,-18,0.0,2,1
UX,PT,Social Media,Male,249.0,0.32,0,0,36,0,0,36,210,0.0,2,1
WD,FT,Social Media,Female,245.0,38.61,0,2,15,0,0,17,145,0.0,3,1
WD,FT,google,Male,292.0,3.53,0,0,42,0,0,42,34,0.15000000000000002,2,1
WD,FT,Social Media,Male,291.0,2.44,1,0,3,0,1,3,34,0.09999999999999998,2,1
WD,PT,google,Male,287.0,1.57,0,0,36,0,0,36,-18,0.0,2,1
UX,FT,Referral,Female,277.0,0.09,1,0,280,0,1,280,25,0.10999999999999999,2,1
WD,FT,google,Female,293.0,1.09,0,0,42,0,0,42,34,0.15000000000000002,2,1
WD,FT,newspaperOrMagazine,Female,246.0,0.18,0,0,42,0,0,42,170,0.0,2,1
DA,FT,Social Media,Male,284.0,6.08,0,0,39,0,0,39,31,0.15000000000000002,2,1
WD,FT,google,Female,288.0,1.4,0,0,36,0,0,36,28,0.15000000000000002,2,1
DA,FT,Social Media,Male,278.0,0.85,0,0,33,0,0,33,25,0.15000000000000002,2,1
WD,FT,google,Male,277.0,11.56,0,1,35,0,0,36,164,0.0,2,1
WD,PT,Social Media,Male,251.0,0.2,0,0,34,0,0,34,-20,0.0,2,1
DA,PT,other,Male,249.0,0.27,0,0,33,0,0,33,235,0.0,2,1
WD,PT,google,Male,284.0,5.31,0,0,35,0,0,35,-19,0.0,2,1
DA,PT,Social Media,Male,285.0,60.76,0,3,36,0,0,39,14,0.0,2,1
UX,FT,newspaperOrMagazine,Male,285.0,0.5,0,0,41,0,0,41,33,0.15000000000000002,2,1
WD,FT,newspaperOrMagazine,Male,281.0,59.91,0,3,36,0,0,39,167,0.0,2,1
WD,FT,Social Media,Male,273.0,4.9,0,0,28,0,0,28,20,0.15000000000000002,3,1
WD,FT,Social Media,Male,285.0,1.19,0,0,33,0,0,33,25,0.15000000000000002,2,1
DA,FT,Social Media,Male,279.0,0.21,0,0,33,0,0,33,25,0.15000000000000002,2,1
WD,PT,other,Male,252.0,0.27,0,0,33,0,0,33,-21,0.0,2,1
UX,FT,Referral,Female,280.0,0.39,1,0,13,0,0,13,33,0.15000000000000002,2,1
WD,FT,Social Media,Male,249.0,47.01,0,2,36,0,0,38,166,0.0,2,1
DA,FT,Referral,Male,286.0,1.11,0,0,35,0,0,35,27,0.15000000000000002,2,1
WD,FT,google,Female,246.0,10.44,0,1,32,0,1,33,161,0.09999999999999998,2,1
UX,FT,Social Media,Female,245.0,8.76,0,0,14,0,0,14,90,0.0,3,1
WD,FT,google,Male,242.0,38.63,0,2,36,0,0,38,166,0.0,2,1
WD,FT,google,Male,274.0,0.52,0,0,35,0,0,35,27,0.15000000000000002,2,1
DA,PT,google,Female,259.0,0.42,0,0,35,0,0,35,10,0.0,2,1
DA,FT,google,Female,249.0,10.34,0,0,40,0,1,40,168,0.09999999999999998,2,1
WD,FT,other,Male,258.0,0.48,1,0,5,0,1,5,160,0.040000000000000036,2,1
DA,FT,google,Female,278.0,3.31,0,0,28,0,1,28,20,0.24,3,1
UX,FT,google,Male,265.0,0.35,0,0,28,0,0,28,20,0.15000000000000002,3,1
UX,FT,Referral,Female,279.0,0.45,0,0,32,0,0,32,108,0.0,2,1
DA,FT,google,Male,245.0,30.44,0,31,57,0,0,88,216,0.0,1,1
WD,FT,Social Media,Male,77.0,50.74,0,2,15,0,0,17,-2,0.0,9,3
WD,FT,google,Female,68.0,21.51,0,1,16,0,1,17,-2,0.09999999999999998,9,3
UX,FT,other,Female,235.0,110.72,0,4,7,0,0,11,87,0.0,3,1
WD,FT,google,Male,279.0,16.88,0,31,57,0,0,88,80,0.15000000000000002,1,1
WD,FT,google,Female,68.0,142.18,0,6,9,0,1,15,-4,0.09999999999999998,9,3
WD,FT,Social Media,Male,63.0,74.84,0,90,235,0,0,325,214,0.0,2,1
UX,PT,other,Female,245.0,11.0,0,31,57,0,0,88,262,0.0,1,1
WD,FT,google,Male,78.0,119.35,0,5,9,0,0,14,-5,0.0,9,3
UX,FT,Social Media,Female,62.0,113.49,0,5,9,0,0,14,-5,0.0,9,3
WD,FT,other,Female,70.0,97.91,1,4,56,0,1,60,-6,0.09999999999999998,9,3
WD,FT,other,Female,81.0,35.74,0,2,12,0,1,14,-5,0.09999999999999998,9,3
UX,FT,google,Male,277.0,0.83,0,0,57,0,0,57,49,0.15000000000000002,2,1
WD,FT,other,Female,280.0,3.37,0,0,28,0,1,28,156,0.09999999999999998,3,1
DA,FT,other,Female,120.0,23.23,0,1,70,0,0,71,52,0.0,7,3
DA,FT,IronhackEvent,Male,126.0,22.5,0,1,70,0,0,71,34,0.0,7,3
UX,FT,other,Female,131.0,4.08,0,0,70,0,0,70,51,0.0,7,3
WD,FT,google,Male,274.0,0.83,0,0,39,0,0,39,31,0.15000000000000002,2,1
WD,FT,google,Female,138.0,3.86,0,0,69,0,0,69,32,0.0,7,3
WD,FT,google,Male,274.0,14.13,0,29,28,0,0,57,49,0.15000000000000002,2,1
UX,FT,newspaperOrMagazine,Female,280.0,0.53,0,0,28,0,0,28,104,0.0,3,1
DA,FT,Social Media,Male,230.0,8.91,0,0,18,0,0,18,146,0.0,3,1
WD,FT,IronhackEvent,Male,228.0,5.73,0,0,76,0,0,76,113,0.0,4,2
WD,FT,other,Female,134.0,27.58,0,1,68,0,0,69,50,0.0,7,3
UX,FT,google,Female,124.0,27.84,0,1,65,0,0,66,29,0.0,7,3
WD,FT,switchup,Female,188.0,189.0,0,8,68,0,0,76,131,0.0,4,2
DA,FT,google,Male,119.0,21.77,0,1,64,0,0,65,28,0.0,7,3
WD,FT,google,Male,133.0,0.24,0,0,64,0,0,64,27,0.0,7,3
DA,FT,other,Female,228.0,29.74,0,1,77,0,1,78,115,0.09999999999999998,4,2
DA,PT,Social Media,Female,228.0,21.89,0,1,77,0,0,78,-38,0.0,4,2
WD,FT,google,Male,133.0,18.82,0,1,64,0,0,65,28,0.0,7,3
DA,FT,google,Male,120.0,64.32,0,3,61,0,0,64,27,0.0,7,3
